Period,Temp,WindSpeed,Rain,Visibility,weekday,month
C,N,N,N,N,D,D
FREE,FREE,FREE,FREE,FREE,FREE,FREE
AM,52.4,2.975609756,0,2.06097561,2,1
EarlyMorning,57.18888889,5.164835165,0,4.586021505,2,1
Evening,61.15,7.757575758,0,4.984848485,2,1
Midday,51.31428571,1.769230769,0,1.971153846,2,1
PM,62.225,1.975,0,2.725,2,1
AM,56.63333333,0.948717949,0,6.230769231,3,1
EarlyMorning,58.21111111,3.482758621,0,9.107526882,3,1
Evening,63.62,9.327868852,0,7.807692308,3,1
Midday,56.0625,2.5625,0,4.21875,3,1
PM,67.63333333,3.692307692,0,4.076923077,3,1
AM,57.66666667,4.205128205,0,8.974358974,4,1
EarlyMorning,61.1875,3.928571429,0,9.637362637,4,1
Evening,68.38,4.433333333,0,9.846153846,4,1
Midday,55.90833333,3.357142857,0,6.366071429,4,1
PM,68.3,2.846153846,0,9.974358974,4,1
AM,57.96666667,3.205128205,0,7.487179487,5,1
EarlyMorning,60.775,3.782608696,0,8.592391304,5,1
Evening,67.8,6.452830189,0,8.907692308,5,1
Midday,57.41428571,3.064102564,0,8.371794872,5,1
PM,68.36666667,3.384615385,0,6.025641026,5,1
AM,60.03333333,3.743589744,0,10,6,1
EarlyMorning,62.2,7.207317073,0,9.945054945,6,1
Evening,63.57142857,9.964285714,0,8.406716418,6,1
Midday,58.95,1.558441558,0,9.337662338,6,1
PM,66.96666667,4.58974359,0,8.641025641,6,1
AM,58.56,4,0,1.817073171,7,1
EarlyMorning,58.45,5.467391304,0,0.720108696,7,1
Evening,62.44285714,6.895522388,0,5.660447761,7,1
Midday,58.18461538,4.511904762,0,0.805882353,7,1
PM,62.42,4.292682927,4.00E-05,3.280487805,7,1
AM,59.55,0.875,0,3.025,1,1
EarlyMorning,59.9375,4.423913043,0,5.972826087,1,1
Evening,64.66666667,8.171875,0,6.318181818,1,1
Midday,60.4625,3.621621622,0,2.65625,1,1
PM,65.825,4.325,0,4.1625,1,1
AM,62.1,0.157894737,0,5,2,1
EarlyMorning,62.325,3.989010989,0,5.626373626,2,1
Evening,63.98,5.830769231,0.02125,6.161538462,2,1
Midday,61.68181818,3.160493827,0,3.25308642,2,1
PM,66.3,3.657894737,0,7,2,1
AM,60.42857143,11.53658537,0.00505,8.453488372,3,1
EarlyMorning,61.58888889,7.538461538,0.012515,9.935483871,3,1
Evening,57.38571429,9.016129032,0.064604,5.332142857,3,1
Midday,57.12857143,11.17741935,0.081470588,4.279761905,3,1
PM,59.55,11.17142857,0.032871429,5.923076923,3,1
AM,51.03333333,4.102564103,0,9.461538462,4,1
EarlyMorning,55.68571429,3.233333333,0,10,4,1
Evening,59.12857143,7.567164179,0.039444444,9.582089552,4,1
Midday,51.88571429,3.962025316,0,9.379746835,4,1
PM,61.36666667,2.384615385,0,10,4,1
AM,53.33333333,1.974358974,0,9.512820513,5,1
EarlyMorning,57.22857143,5.142857143,0,10,5,1
Evening,62.98,7.301587302,0,10,5,1
Midday,52.71666667,2.666666667,0,8.307692308,5,1
PM,60.75,3.775,0,9.45,5,1
AM,54.875,0.675,0,5.1,6,1
EarlyMorning,59.525,4.380434783,0,8.760869565,6,1
Evening,61.04,6.692307692,0,5.292307692,6,1
Midday,53.81818182,1.914634146,0,3.909390244,6,1
PM,60.275,5.075,0,5.475,6,1
AM,59.66666667,3.948717949,0,10,7,1
EarlyMorning,58.975,1.869565217,0,5.336956522,7,1
Evening,77.98,3.4,0,8.7,7,1
Midday,61.5,3.166666667,0,10,7,1
PM,78,3.974358974,0,10,7,1
AM,64.7,4.41025641,0,10,1,1
EarlyMorning,72.05714286,3.142857143,0,10,1,1
Evening,79.42,5.123076923,0,10,1,1
Midday,63.03333333,4.397435897,0,10,1,1
PM,75.7,5,0,10,1,1
AM,58.26666667,2.512820513,0,10,2,1
EarlyMorning,64.98571429,2.659340659,0,9.978021978,2,1
Evening,62.66,8.323076923,0,9.738461538,2,1
Midday,56.01428571,1.367088608,0,10,2,1
PM,61.73333333,7.210526316,0,8.435897436,2,1
AM,56.26666667,2.820512821,0,6.897435897,3,1
EarlyMorning,59.34444444,5.08045977,0,8.47311828,3,1
Evening,64,7.184615385,0,9.384615385,3,1
Midday,56.37272727,1.292682927,0,2.214512195,3,1
PM,63.775,2.625,0,4.925,3,1
AM,57.3,1.794871795,0,8.102564103,4,1
EarlyMorning,60.45714286,3.877777778,0,9.978021978,4,1
Evening,65.8,8.815384615,0,8.984615385,4,1
Midday,57.1,0.756097561,0,5.932926829,4,1
PM,68.96666667,3.512820513,0,7.102564103,4,1
AM,60.4,1.692307692,0,10,5,1
EarlyMorning,62.64285714,3.043956044,0,9.967032967,5,1
Evening,67.6,6.769230769,0,9,5,1
